ID,Category,Test Case,Severity,Owner,Status,Notes,Last Tested
QA-001,Auth,Login with valid credentials,Critical,QA Team,Not Started,,
QA-002,Auth,Login with invalid credentials shows error,High,QA Team,Not Started,,
QA-003,Auth,Session persists after refresh,Critical,QA Team,Not Started,,
QA-004,Auth,Logout clears session,High,QA Team,Not Started,,
QA-005,Auth,Password reset flow works,High,QA Team,Not Started,,
QA-006,Player,Channel list loads correctly,Critical,QA Team,Not Started,,
QA-007,Player,Stream playback starts within 3s,Critical,QA Team,Not Started,,
QA-008,Player,Player controls visible on hover,Medium,QA Team,Not Started,,
QA-009,Player,Fullscreen toggle works,Medium,QA Team,Not Started,,
QA-010,Player,Volume control works,Medium,QA Team,Not Started,,
QA-011,Player,Channel switching works,Critical,QA Team,Not Started,,
QA-012,Player,Resume playback from last position,High,QA Team,Not Started,,
QA-013,Player,EPG data displays correctly,Medium,QA Team,Not Started,,
QA-014,CDN,Cache hit rate > 80%,High,DevOps,Not Started,,
QA-015,CDN,Stream latency p95 < 500ms,Critical,DevOps,Not Started,,
QA-016,CDN,JWT validation blocks invalid tokens,Critical,Security,Not Started,,
QA-017,API,Health endpoint responds 200,Critical,DevOps,Not Started,,
QA-018,API,Rate limiting works correctly,High,Security,Not Started,,
QA-019,API,RLS policies block unauthorized access,Critical,Security,Not Started,,
QA-020,Admin,Dashboard loads with metrics,High,QA Team,Not Started,,
QA-021,Admin,Client management CRUD works,High,QA Team,Not Started,,
QA-022,Admin,Notification sending works,High,QA Team,Not Started,,
QA-023,Admin,M3U import processes correctly,High,QA Team,Not Started,,
QA-024,Admin,Feature flags toggle correctly,Medium,QA Team,Not Started,,
QA-025,Mobile,Responsive layout on mobile,High,QA Team,Not Started,,
QA-026,Mobile,Touch controls work,High,QA Team,Not Started,,
QA-027,Mobile,App installs as PWA,Medium,QA Team,Not Started,,
QA-028,Performance,LCP < 2.5s,High,DevOps,Not Started,,
QA-029,Performance,FID < 100ms,Medium,DevOps,Not Started,,
QA-030,Performance,CLS < 0.1,Medium,DevOps,Not Started,,
QA-031,Security,No XSS vulnerabilities,Critical,Security,Not Started,,
QA-032,Security,CORS configured correctly,Critical,Security,Not Started,,
QA-033,Security,Secrets not exposed in client,Critical,Security,Not Started,,
QA-034,Payments,Payment flow completes successfully,Critical,QA Team,Not Started,,
QA-035,Payments,Webhook updates subscription status,Critical,QA Team,Not Started,,
QA-036,Migration,Feature flag rollback works,Critical,DevOps,Not Started,,
QA-037,Migration,Data cleanup runs without errors,High,DevOps,Not Started,,
QA-038,Migration,Emergency stop disables all flags,Critical,DevOps,Not Started,,
